atletas.atleta_id,atletas.apelido,Posição,G,A,FT,FD,FF,FS,PS,PE,I,PP,DS,FC,GC,CA,CV,PC,SG,DE,DP,GS,Finalizacoes_Totais,Finalizacoes_Perigosas,Participação_Gols,Índice_Defensivo,pontos_fantasy,Eficiência_Chute
110759,John Kennedy,ATA,16.0,12.0,9.0,58.0,37.0,140.0,0.0,0,51.0,0.0,34.0,76.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,67.0,28.0,-42.0,385.1,0.15384615384615385
110760,Biel,ATA,7.0,21.0,0.0,50.0,134.0,144.0,0.0,0,0.0,0.0,120.0,60.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,50.0,28.0,60.0,515.2,0.03804347826086957
110818,Renato Paiva,TEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110909,Guilherme Lopes,LAT,28.0,25.0,0.0,0.0,47.0,86.0,0.0,0,0.0,0.0,278.0,153.0,27.0,49.0,0.0,0.0,70.0,0.0,0.0,0.0,47.0,0.0,53.0,195.0,937.3,0.5957446808510638
111156,Rodrigo Santos,MEI,0.0,0.0,0.0,15.0,10.0,31.0,0.0,0,0.0,0.0,87.0,77.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,10.0,111.80000000000001,0.0
111166,Rômulo,MEI,0.0,0.0,0.0,28.0,0.0,15.0,0.0,0,11.0,0.0,9.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,-58.0,30.7,0.0
111246,Alix Vinicius,ZAG,0.0,0.0,0.0,7.0,14.0,28.0,7.0,0,0.0,0.0,23.0,67.0,0.0,15.0,0.0,0.0,6.0,0.0,0.0,0.0,21.0,7.0,0.0,-38.0,63.1,0.0
111309,Gustavo Martins,ZAG,25.0,0.0,0.0,119.0,59.0,26.0,0.0,0,27.0,0.0,402.0,330.0,0.0,56.0,0.0,0.0,74.0,0.0,0.0,0.0,178.0,119.0,25.0,146.0,1097.6999999999998,0.1404494382022472
111332,Kelvi Gomes,MEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111407,Luis Mandaca,MEI,53.0,5.0,35.0,166.0,369.0,995.0,0.0,0,49.0,0.0,1053.0,1002.0,0.0,49.0,12.0,0.0,0.0,0.0,0.0,0.0,570.0,201.0,58.0,51.0,2419.0,0.09298245614035087
111465,Renzo,ZAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
